task_type,session_name,run_dir,model_name,size,shortlisted,recommended
classification,tflitert,cl-0000_tflitert_imagenet1k_mlperf_mobilenet_v1_1.0_224_tflite,TFL-CL-0000-mobileNetV1-mlperf,18479897,True,True
classification,tflitert,cl-0010_tflitert_imagenet1k_tf1-models_mobilenet_v2_1.0_224_tflite,TFL-CL-0010-mobileNetV2,15658002,False,False
classification,tflitert,cl-0020_tflitert_imagenet1k_tf1-models_squeezenet_tflite,TFL-CL-0020-SqueezeNet,5666985,True,False
classification,tflitert,cl-0038_tflitert_imagenet1k_tf1-models_inception_v1_224_quant_tflite,TFL-CL-0038-InceptionNetV1,9536997,False,False
classification,tflitert,cl-0040_tflitert_imagenet1k_tf1-models_inception_v3_tflite,TFL-CL-0040-InceptionNetV3,104972754,False,False
classification,tflitert,cl-0050_tflitert_imagenet1k_tf1-models_resnet50_v1_tflite,TFL-CL-0050-resNet50V1,109432484,True,False
classification,tflitert,cl-0060_tflitert_imagenet1k_tf1-models_resnet50_v2_tflite,TFL-CL-0060-resNet50V2,111156018,False,False
classification,tflitert,cl-0070_tflitert_imagenet1k_tf1-models_mnasnet_1.0_224_tflite,TFL-CL-0070-mnasNet,19513181,True,False
classification,tflitert,cl-0080_tflitert_imagenet1k_mlperf_mobilenet_edgetpu_224_1.0_float_tflite,TFL-CL-0080-mobileNet-edgeTPU-mlperf,18334833,True,False
classification,tflitert,cl-0090_tflitert_imagenet1k_tf-tpu_efficientnet-edgetpu-S_float_tflite,TFL-CL-0090-efficientNet-edgeTPU-s,24383594,True,False
classification,tflitert,cl-0100_tflitert_imagenet1k_tf-tpu_efficientnet-edgetpu-M_float_tflite,TFL-CL-0100-efficientNet-edgeTPU-m,30892630,True,False
classification,tflitert,cl-0130_tflitert_imagenet1k_tf-tpu_efficientnet-lite0-fp32_tflite,TFL-CL-0130-efficientNet-lite0,20396845,True,False
classification,tflitert,cl-0140_tflitert_imagenet1k_tf-tpu_efficientnet-lite4-fp32_tflite,TFL-CL-0140-efficientNet-lite4,57230987,True,False
classification,tflitert,cl-0150_tflitert_imagenet1k_tf1-models_densenet_tflite,TFL-CL-0150-denseNet,47677481,False,False
classification,tflitert,cl-0160_tflitert_imagenet1k_mlperf_resnet50_v1.5_tflite,TFL-CL-0160-resNet50V1p5-mlperf,111175748,True,False
classification,tflitert,cl-0170_tflitert_imagenet1k_tf-tpu_efficientnet-lite1-fp32_tflite,TFL-CL-0170-efficientNet-lite1,23963269,True,False
classification,tflitert,cl-0190_tflitert_imagenet1k_tf-tpu_efficientnet-edgetpu-L_float_tflite,TFL-CL-0190-efficientNet-edgeTPU-l,47327260,True,False
