serial_num,model_id,runtime_name,task_type,input_resolution,model_path,metric_name,metric_8bits,metric_32bits,metric_reference,num_subgraphs,infer_time_core_ms(XNN),infer_time_core_ms(ARMNN),ddr_transfer_mb,run_dir,artifact_name
1,cl-0000,tflitert,classification,224,mobilenet_v1_1.0_224.tflite,accuracy_top1%,,,,1,105.46,102,0,cl-0000_tflitert_imagenet1k_mlperf_mobilenet_v1_1.0_224_tflite,TFL-CL-0000-mobileNetV1-mlperf
2,cl-0010,tflitert,classification,224,mobilenet_v2_1.0_224.tflite,accuracy_top1%,,,,1,73.98,97.61,0,cl-0010_tflitert_imagenet1k_tf1-models_mobilenet_v2_1.0_224_tflite,TFL-CL-0010-mobileNetV2
3,cl-0020,tflitert,classification,224,squeezenet.tflite,accuracy_top1%,,,,1,122.24,138.32,0,cl-0020_tflitert_imagenet1k_tf1-models_squeezenet_tflite,TFL-CL-0020-SqueezeNet
4,cl-0038,tflitert,classification,224,inception_v1_224_quant.tflite,accuracy_top1%,,,,1,162.22,138.52,0,cl-0038_tflitert_imagenet1k_tf1-models_inception_v1_224_quant_tflite,TFL-CL-0038-InceptionNetV1
5,cl-0040,tflitert,classification,299,inception_v3.tflite,accuracy_top1%,,,,1,811.5,702.1,0,cl-0040_tflitert_imagenet1k_tf1-models_inception_v3_tflite,TFL-CL-0040-InceptionNetV3
6,cl-0050,tflitert,classification,224,resnet50_v1.tflite,accuracy_top1%,,,,1,603.82,447.43,0,cl-0050_tflitert_imagenet1k_tf1-models_resnet50_v1_tflite,TFL-CL-0050-resNet50V1
7,cl-0060,tflitert,classification,224,resnet50_v2.tflite,accuracy_top1%,,,,1,639.83,491.09,0,cl-0060_tflitert_imagenet1k_tf1-models_resnet50_v2_tflite,TFL-CL-0060-resNet50V2
8,cl-0070,tflitert,classification,224,mnasnet_1.0_224.tflite,accuracy_top1%,,,,1,86.91,92.37,0,cl-0070_tflitert_imagenet1k_tf1-models_mnasnet_1.0_224_tflite,TFL-CL-0070-mnasNet
9,cl-0080,tflitert,classification,224,mobilenet_edgetpu_224_1.0_float.tflite,accuracy_top1%,,,,1,121.44,149.94,0,cl-0080_tflitert_imagenet1k_mlperf_mobilenet_edgetpu_224_1.0_float_tflite,TFL-CL-0080-mobileNet-edgeTPU-mlperf
10,cl-0090,tflitert,classification,224,efficientnet-edgetpu-S_float.tflite,accuracy_top1%,,,,1,316.95,352.45,0,cl-0090_tflitert_imagenet1k_tf-tpu_efficientnet-edgetpu-S_float_tflite,TFL-CL-0090-efficientNet-edgeTPU-s
11,cl-0100,tflitert,classification,240,efficientnet-edgetpu-M_float.tflite,accuracy_top1%,,,,1,487.79,580.54,0,cl-0100_tflitert_imagenet1k_tf-tpu_efficientnet-edgetpu-M_float_tflite,TFL-CL-0100-efficientNet-edgeTPU-m
12,cl-0130,tflitert,classification,224,efficientnet-lite0-fp32.tflite,accuracy_top1%,,,,1,108.43,114.36,0,cl-0130_tflitert_imagenet1k_tf-tpu_efficientnet-lite0-fp32_tflite,TFL-CL-0130-efficientNet-lite0
13,cl-0140,tflitert,classification,300,efficientnet-lite4-fp32.tflite,accuracy_top1%,,,,1,712.23,578.9,0,cl-0140_tflitert_imagenet1k_tf-tpu_efficientnet-lite4-fp32_tflite,TFL-CL-0140-efficientNet-lite4
14,cl-0150,tflitert,classification,224,densenet.tflite,accuracy_top1%,,,,1,539.65,615.18,0,cl-0150_tflitert_imagenet1k_tf1-models_densenet_tflite,TFL-CL-0150-denseNet
15,cl-0160,tflitert,classification,224,resnet50_v1.5.tflite,accuracy_top1%,,,,1,687.08,513.37,0,cl-0160_tflitert_imagenet1k_mlperf_resnet50_v1.5_tflite,TFL-CL-0160-resNet50V1p5-mlperf
16,cl-0170,tflitert,classification,240,efficientnet-lite1-fp32.tflite,accuracy_top1%,,,,1,162.54,163.45,0,cl-0170_tflitert_imagenet1k_tf-tpu_efficientnet-lite1-fp32_tflite,TFL-CL-0170-efficientNet-lite1
17,cl-0190,tflitert,classification,300,efficientnet-edgetpu-L_float.tflite,accuracy_top1%,,,,1,1360.29,1242.83,0,cl-0190_tflitert_imagenet1k_tf-tpu_efficientnet-edgetpu-L_float_tflite,TFL-CL-0190-efficientNet-edgeTPU-l
18,cl-0200,tflitert,classification,224,mobilenet_v2_float_1.4_224.tflite,accuracy_top1%,,,,1,138.78,144.45,0,cl-0200_tflitert_imagenet1k_tf1-models_mobilenet_v2_float_1.4_224_tflite,TFL-CL-0200-mobileNetV2-1p4
19,cl-0210,tflitert,classification,224,mobilenet_v1_1.0_224.tflite,accuracy_top1%,,,,1,105.38,107.91,0,cl-0210_tflitert_imagenet1k_tf1-models_mobilenet_v1_1.0_224_tflite,TFL-CL-0210-mobileNetV1
20,cl-0218,tflitert,classification,224,mobilenet_v1_1.0_224_quant.tflite,accuracy_top1%,,,,1,62.13,59.81,0,cl-0218_tflitert_imagenet1k_tf1-models_mobilenet_v1_1.0_224_quant_tflite,TFL-CL-0218-mobileNetV1-qat
21,cl-0260,tflitert,classification,224,mobilenet_v3-large-minimalistic_224_1.0_float.tflite,accuracy_top1%,,,,1,52.03,69.53,0,cl-0260_tflitert_imagenet1k_tf1-models_mobilenet_v3-large-minimalistic_224_1.0_float_tflite,TFL-CL-0260-mobv3-large-minimalistic
22,cl-0270,tflitert,classification,224,mobilenet_v3-small-minimalistic_224_1.0_float.tflite,accuracy_top1%,,,,1,16.53,29.24,0,cl-0270_tflitert_imagenet1k_tf1-models_mobilenet_v3-small-minimalistic_224_1.0_float_tflite,TFL-CL-0270-mobv3-small-minimalistic
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Report Name:,report_am62_20220712.csv,,,,,,,,,,,,,,
Release Version,r8.2,,,,,,,,,,,,,,
