serial_num,model_id,runtime_name,task_type,run_dir,input_resolution,metric_name,TDA4VM_32bits_metric,TDA4VM_8bits_metric,AM69A_8bits_metric,AM68A_8bits_metric,AM62A_8bits_metric,metric_reference,model_shortlist,model_path,artifact_name
1,ss-8720,onnxrt,segmentation,ss-8720_onnxrt_cocoseg21_edgeai-tv_fpn_aspp_regnetx800mf_edgeailite_512x512_20210405_onnx,512x512,accuracy_mean_iou%,60.833728,61.795026,61.880713,61.880713,no_inference,61.09,20,fpn_aspp_regnetx800mf_edgeailite_512x512_20210405.onnx,ONR-SS-8720-deeplabv3lite-regnetx800mf-cocoseg21-512x512
2,cl-0090,tflitert,classification,cl-0090_tflitert_imagenet1k_tf-tpu_efficientnet-edgetpu-S_float_tflite,224,accuracy_top1%,77.6,77.4,77.3,77.3,77.4,77.23,40,efficientnet-edgetpu-S_float.tflite,TFL-CL-0090-efficientNet-edgeTPU-s
3,cl-6102,onnxrt,classification,cl-6102_onnxrt_imagenet1k_torchvision_resnet18_1024x1024_onnx,1024,accuracy_top1%,None,None,None,None,None,None,50,resnet18_1024x1024.onnx,ONR-CL-6102-resNet18-1024x1024
4,cl-6490,onnxrt,classification,cl-6490_onnxrt_imagenet1k_edgeai-tv_mobilenet_v3_lite_large_20210507_onnx,224,accuracy_top1%,72.1,71.3,71.4,71.4,71.3,72.122,30,mobilenet_v3_lite_large_20210507.onnx,ONR-CL-6490-mobv3-lite-large
5,cl-6101,onnxrt,classification,cl-6101_onnxrt_imagenet1k_torchvision_resnet18_512x512_onnx,512,accuracy_top1%,None,None,None,None,None,None,50,resnet18_512x512.onnx,ONR-CL-6101-resNet18-512x512
6,cl-0160,tflitert,classification,cl-0160_tflitert_imagenet1k_mlperf_resnet50_v1.5_tflite,224,accuracy_top1%,76.5,75.4,77.9,77.9,76.6,76.456,30,resnet50_v1.5.tflite,TFL-CL-0160-resNet50V1p5-mlperf
7,od-8040,onnxrt,detection,od-8040_onnxrt_coco_edgeai-mmdet_ssd_regnetx-200mf_fpn_bgr_lite_320x320_20201010_model_onnx,320x320,accuracy_ap[.5:.95]%,17.636871,17.147761,16.216961,16.216961,17.147761,20.7,30,ssd_regnetx-200mf_fpn_bgr_lite_320x320_20201010_model.onnx,ONR-OD-8040-ssd-lite-regNetX-200mf-fpn-bgr-mmdet-coco-320x320
8,od-5120,tvmdlr,detection,od-5120_tvmdlr_coco_tf1-models_ssdlite_mobiledet_dsp_320x320_coco_20200519_tflite,320x320,accuracy_ap[.5:.95]%,35.415371,34.235991,34.287376,34.287376,34.235991,28.9,10,ssdlite_mobiledet_dsp_320x320_coco_20200519.tflite,TVM-OD-5120-ssdLite-mobDet-DSP-coco-320x320
9,cl-6131,onnxrt,classification,cl-6131_onnxrt_imagenet1k_torchvision_regnet_x_800mf_tv_512x512_onnx,512,accuracy_top1%,None,None,None,None,None,None,60,regnet_x_800mf_tv_512x512.onnx,ONR-CL-6131-regNetX-800mf-pycls-512x512
10,od-8410,onnxrt,detection,od-8410_onnxrt_widerface_edgeai-mmdet_yolox_tiny_lite_416x416_20220318_model_onnx,416,accuracy_ap[.5:.95]%,19.515278,18.22406,18.938525,18.938525,18.22406,23.5,20,yolox_tiny_lite_416x416_20220318_model.onnx,ONR-OD-8410-yolox-tiny-lite-mmdet-widerface-416x416
11,od-8210,onnxrt,detection,od-8210_onnxrt_coco_edgeai-mmdet_yolox_tiny_lite_416x416_20220217_model_onnx,416,accuracy_ap[.5:.95]%,27.076927,24.811901,26.873549,26.873549,24.811901,30.5,20,yolox_tiny_lite_416x416_20220217_model.onnx,ONR-OD-8210-yolox-tiny-lite-mmdet-coco-416x416
12,cl-6141,onnxrt,classification,cl-6141_onnxrt_imagenet1k_torchvision_regnet_x_1_6gf_tv_512x512_onnx,512,accuracy_top1%,None,None,None,None,None,None,60,regnet_x_1_6gf_tv_512x512.onnx,ONR-CL-6141-regNetX-1.6gf-pycls-512x512
13,kd-7060,onnxrt,keypoint_detection,kd-7060_onnxrt_coco_edgeai-yolox_yolox_s_pose_ti_lite_640_20220301_model_onnx,640,accuracy_ap[.5:.95]%,50.507423,28.861771,26.3897,26.3897,42.460247,49.6,10,yolox_s_pose_ti_lite_640_20220301_model.onnx,ONR-KD-7060-human-pose-yolox-s-640x640
14,od-8220,onnxrt,detection,od-8220_onnxrt_coco_edgeai-mmdet_yolox_s_lite_640x640_20220221_model_onnx,640,accuracy_ap[.5:.95]%,34.809699,33.479991,34.379828,34.379828,33.479991,38.3,10,yolox_s_lite_640x640_20220221_model.onnx,ONR-OD-8220-yolox-s-lite-mmdet-coco-640x640
15,de-7300,onnxrt,depth_estimation,de-7300_onnxrt_nyudepthv2_fast-depth_fast-depth_onnx,224x224,accuracy_delta_1%,77.618069,70.956273,71.978149,71.978149,70.956273,77.1,50,fast-depth.onnx,ONR-DE-7300-depth-est-fast-depth-224x224
16,ss-8818,onnxrt,segmentation,ss-8818_onnxrt_ti-robokit_edgeai-tv_deeplabv3plus_mnetv2_edgeailite_robokit_768x432_qat-p2_onnx,432x768,accuracy_mean_iou%,48.613219,54.232657,54.232657,54.232657,54.232657,54.1,10,deeplabv3plus_mnetv2_edgeailite_robokit_768x432_qat-p2.onnx,ONR-SS-8818-deeplabv3lite-mobv2-qat-robokit-768x432
17,cl-6151,onnxrt,classification,cl-6151_onnxrt_imagenet1k_edgeai-tv_mobilenet_v2_1p4_qat-p2_20210112_512x512_onnx,512,accuracy_top1%,None,None,None,None,None,None,60,mobilenet_v2_1p4_qat-p2_20210112_512x512.onnx,ONR-CL-6151-mobileNetV2-1p4-qat-512x512
18,cl-6098,onnxrt,classification,cl-6098_onnxrt_imagenet1k_torchvision_mobilenet_v2_tv_qat-p2_onnx,224,accuracy_top1%,68.3,69.9,69.9,69.9,69.9,71.31,40,mobilenet_v2_tv_qat-p2.onnx,ONR-CL-6098-mobileNetV2-tv-qat
19,cl-0140,tflitert,classification,cl-0140_tflitert_imagenet1k_tf-tpu_efficientnet-lite4-fp32_tflite,300,accuracy_top1%,82.5,81,82.6,82.6,81,81.5,40,efficientnet-lite4-fp32.tflite,TFL-CL-0140-efficientNet-lite4
20,cl-6180,onnxrt,classification,cl-6180_onnxrt_imagenet1k_torchvision_regnet_x_1_6gf_tv_onnx,224,accuracy_top1%,77.5,77.8,77.1,77.1,77.8,77.04,40,regnet_x_1_6gf_tv.onnx,ONR-CL-6180-regNetX-1.6gf-tv
21,cl-6488,onnxrt,classification,cl-6488_onnxrt_imagenet1k_edgeai-tv_mobilenet_v3_lite_small_qat-p2_20210429_onnx,224,accuracy_top1%,47.4,62.7,62.9,62.9,62.7,61.836,40,mobilenet_v3_lite_small_qat-p2_20210429.onnx,ONR-CL-6488-mobv3-lite-small-qat
22,ss-8630,onnxrt,segmentation,ss-8630_onnxrt_ade20k32_edgeai-tv_unet_aspp_mobilenetv2_edgeailite_512x512_20210306_outby2_onnx,512x512,accuracy_mean_iou%,51.523976,50.79699,50.702543,50.702543,50.79699,50.07,20,unet_aspp_mobilenetv2_edgeailite_512x512_20210306_outby2.onnx,ONR-SS-8630-unetlite-aspp-mobv2-tv-ade20k32-512x512
23,od-2030,tflitert,detection,od-2030_tflitert_coco_tf1-models_ssdlite_mobiledet_edgetpu_320x320_coco_20200519_tflite,320x320,accuracy_ap[.5:.95]%,32.441658,31.535342,32.140296,32.140296,31.535342,25.9,40,ssdlite_mobiledet_edgetpu_320x320_coco_20200519.tflite,TFL-OD-2030-ssdLite-mobDet-EdgeTPU-coco-320x320
24,ss-8610,onnxrt,segmentation,ss-8610_onnxrt_ade20k32_edgeai-tv_deeplabv3plus_mobilenetv2_edgeailite_512x512_20210308_outby4_onnx,512x512,accuracy_mean_iou%,52.476066,52.508247,52.319268,52.319268,52.508247,51.08,10,deeplabv3plus_mobilenetv2_edgeailite_512x512_20210308_outby4.onnx,ONR-SS-8610-deeplabv3lite-mobv2-ade20k32-512x512
25,cl-6112,onnxrt,classification,cl-6112_onnxrt_imagenet1k_torchvision_resnet50_1024x1024_onnx,1024,accuracy_top1%,None,None,None,None,None,None,60,resnet50_1024x1024.onnx,ONR-CL-6112-resNet50-1024x1024
26,od-8020,onnxrt,detection,od-8020_onnxrt_coco_edgeai-mmdet_ssd_mobilenetv2_lite_512x512_20201214_model_onnx,512x512,accuracy_ap[.5:.95]%,22.067137,19.812048,20.039942,20.039942,19.812048,25.1,10,ssd_mobilenetv2_lite_512x512_20201214_model.onnx,ONR-OD-8020-ssd-lite-mobv2-mmdet-coco-512x512
27,cl-0000,tflitert,classification,cl-0000_tflitert_imagenet1k_mlperf_mobilenet_v1_1.0_224_tflite,224,accuracy_top1%,71.5,67.4,71.2,71.2,67.4,71.676,10,mobilenet_v1_1.0_224.tflite,TFL-CL-0000-mobileNetV1-mlperf
28,6dpose-7200,onnxrt,object_6d_pose_estimation,6dpose-7200_onnxrt_ycbv_edgeai-yolox_yolox_s_object_pose_ti_lite_640x480_57p75_onnx,480x640,accuracy_add(s)_p1%,54.007407,54.007407,54.520635,54.520635,54.007407,54.1,10,yolox_s_object_pose_ti_lite_640x480_57p75.onnx,ONR-6DP-7200-yolox-s-6d-object_pose-640x480
29,od-8230,onnxrt,detection,od-8230_onnxrt_coco_edgeai-mmdet_yolox_m_lite_20220228_model_onnx,640,accuracy_ap[.5:.95]%,41.345053,38.890721,41.123286,41.123286,None,44.4,60,yolox_m_lite_20220228_model.onnx,ONR-OD-8230-yolox-m-lite-mmdet-coco-640x640
